Player,Team,2p%,3p%,ft%,min%
Dean Wade,CLE,0.569,0.391,0.769,0.282
Dāvis Bertāns,CHA,0.469,0.38,0.909,0.171
Killian Hayes,DET,0.454,0.297,0.66,0.256
Marcus Smart,MEM,0.582,0.313,0.768,0.154
Craig Porter Jr.,CLE,0.536,0.353,0.732,0.165
Max Christie,LAL,0.495,0.356,0.783,0.24
Xavier Tillman,BOS,0.511,0.247,0.44,0.248
Bruno Fernando,ATL,0.596,0.0,0.667,0.173
Danilo Gallinari,MIL,0.546,0.323,0.857,0.16
Josh Okogie,PHX,0.508,0.309,0.745,0.244
Jaylin Williams,OKC,0.501,0.368,0.805,0.228
Jock Landale,HOU,0.579,0.25,0.8,0.194
Lamar Stevens,MEM,0.485,0.304,0.778,0.142
Scotty Pippen Jr.,MEM,0.535,0.417,0.745,0.134
Blake Wesley,SAS,0.562,0.218,0.667,0.222
Jae'Sean Tate,HOU,0.56,0.299,0.667,0.262
Cam Reddish,LAL,0.436,0.336,0.759,0.25
Bones Hyland,LAC,0.456,0.326,0.783,0.137
Caleb Houstan,ORL,0.611,0.373,0.808,0.207
Mo Bamba,PHI,0.537,0.391,0.68,0.188
AJ Green,MIL,0.517,0.408,0.895,0.156
Ben Sheppard,IND,0.562,0.314,0.885,0.207
Jared Butler,WAS,0.602,0.308,0.861,0.144
Troy Brown Jr.,DET,0.437,0.333,0.865,0.21
Mason Plumlee,LAC,0.592,0.0,0.707,0.171
Mark Williams,CHA,0.649,0.0,0.719,0.129
Brice Sensabaugh,UTA,0.495,0.296,0.902,0.148
Gary Payton II,GSW,0.649,0.364,0.609,0.173
John Konchar,MEM,0.568,0.317,0.84,0.298
Justin Holiday,DEN,0.571,0.404,0.75,0.219
Chris Duarte,SAC,0.435,0.346,0.788,0.183
Julian Strawther,DEN,0.487,0.297,0.71,0.139
Ja Morant,MEM,0.555,0.275,0.813,0.081
Seth Curry,CHA,0.437,0.352,0.903,0.156
Sasha Vezenkov,SAC,0.55,0.375,0.8,0.13
KJ Martin,PHI,0.582,0.286,0.537,0.19
Bol Bol,PHX,0.717,0.423,0.789,0.119
Kevin Knox II,DET,0.597,0.33,0.909,0.142
Omer Yurtseven,UTA,0.588,0.208,0.679,0.138
Evan Fournier,DET,0.504,0.254,0.806,0.147
Thomas Bryant,MIA,0.645,0.182,0.872,0.112
Shake Milton,NYK,0.466,0.281,0.816,0.148
Tari Eason,HOU,0.504,0.36,0.636,0.122
Jalen Wilson,BKN,0.496,0.324,0.826,0.169
Cody Martin,CHA,0.426,0.314,0.606,0.191
MarJon Beauchamp,MIL,0.561,0.4,0.679,0.154
Delon Wright,MIA,0.409,0.368,0.822,0.188
Dwight Powell,DAL,0.689,0.333,0.708,0.212
Eugene Omoruyi,WAS,0.562,0.283,0.653,0.1
Oshae Brissett,BOS,0.54,0.273,0.602,0.16
JT Thor,CHA,0.509,0.346,0.55,0.198
Richaun Holmes,WAS,0.563,0.333,0.723,0.141
Keita Bates-Diop,BKN,0.526,0.304,0.762,0.169
Jordan McLaughlin,MIN,0.5,0.472,0.722,0.159
Derrick Rose,MEM,0.492,0.366,0.889,0.101
Maxi Kleber,DAL,0.575,0.348,0.702,0.221
Sandro Mamukelashvili,SAS,0.593,0.297,0.735,0.115
Anthony Gill,WAS,0.547,0.244,0.806,0.118
Zeke Nnaji,DEN,0.5,0.261,0.677,0.146
JaVale McGee,SAC,0.623,0.143,0.578,0.086
Dalen Terry,CHI,0.625,0.23,0.581,0.173
Luka Samanic,UTA,0.501,0.203,0.786,0.103
Bismack Biyombo,OKC,0.565,0.0,0.481,0.201
Jacob Gilyard,BKN,0.374,0.405,1.0,0.177
Mitchell Robinson,NYK,0.575,0.0,0.409,0.195
Ricky Council IV,PHI,0.525,0.375,0.746,0.073
Trey Jemison III,MEM,0.551,0.0,0.84,0.146
Jalen McDaniels,TOR,0.449,0.169,0.73,0.137
Patrick Baldwin Jr.,WAS,0.483,0.32,0.679,0.125
Brandon Boston,LAC,0.468,0.269,0.697,0.088
Lester Quinones,GSW,0.452,0.364,0.69,0.1
Monté Morris,MIN,0.421,0.386,0.684,0.121
Jaden Springer,BOS,0.491,0.208,0.833,0.129
Svi Mykhailiuk,BOS,0.517,0.389,0.667,0.105
Tristan Thompson,CLE,0.618,0.0,0.288,0.139
Mike Muscala,OKC,0.466,0.292,0.68,0.152
Rayan Rupert,POR,0.312,0.359,0.76,0.161
Skylar Mays,LAL,0.447,0.296,0.765,0.11
Neemias Queta,BOS,0.644,0.0,0.714,0.085
Javon Freeman-Liberty,TOR,0.55,0.238,0.917,0.102
Johnny Davis,WAS,0.422,0.35,0.583,0.156
Matt Ryan,NOP,0.364,0.451,0.929,0.099
Nassir Little,PHX,0.667,0.3,0.85,0.116
Jarred Vanderbilt,LAL,0.587,0.296,0.667,0.148
Aleksej Pokusevski,CHA,0.47,0.327,0.732,0.103
Danuel House Jr.,PHI,0.583,0.3,0.761,0.129
Dominick Barlow,SAS,0.51,0.333,0.69,0.107
Johnny Juzang,UTA,0.576,0.416,0.714,0.094
DeAndre Jordan,DEN,0.624,0.0,0.491,0.1
Ish Smith,CHA,0.414,0.5,0.75,0.188
Lindy Waters III,OKC,0.632,0.435,1.0,0.071
Thaddeus Young,PHX,0.634,0.143,0.4,0.112
A.J. Lawson,DAL,0.577,0.26,0.652,0.079
Vít Krejčí,ATL,0.637,0.412,0.833,0.138
Noah Clowney,BKN,0.634,0.364,0.7,0.094
Ousmane Dieng,OKC,0.608,0.3,0.875,0.093
Patty Mills,MIA,0.499,0.276,1.0,0.106
Robert Covington,PHI,0.572,0.339,0.846,0.124
Stanley Umude,DET,0.418,0.453,0.906,0.078
Andre Jackson Jr.,MIL,0.611,0.37,0.727,0.145
Olivier-Maxence Prosper,DAL,0.458,0.289,0.683,0.085
Alex Len,SAC,0.641,0.0,0.588,0.113
Jarace Walker,IND,0.418,0.4,0.889,0.086
Yuta Watanabe,MEM,0.515,0.294,0.588,0.118
Jeremiah Robinson-Earl,NOP,0.572,0.333,0.75,0.085
Jontay Porter,TOR,0.456,0.333,0.833,0.091
Devonte' Graham,SAS,0.521,0.301,0.813,0.08
Isaiah Livers,DET,0.461,0.286,0.667,0.119
Javonte Green,CHI,0.729,0.37,0.769,0.058
Wesley Matthews,ATL,0.358,0.348,0.75,0.105
Chuma Okeke,ORL,0.567,0.28,0.571,0.11
Damian Jones,CLE,0.689,0.214,0.857,0.068
Tosan Evbuomwan,DET,0.615,0.375,0.68,0.093
Luka Garza,MIN,0.628,0.281,0.72,0.031
Orlando Robinson,MIA,0.491,0.533,0.76,0.077
Jamal Cain,MIA,0.478,0.355,0.783,0.066
Kenneth Lofton Jr.,UTA,0.538,0.292,0.654,0.05
Reggie Bullock Jr.,HOU,0.469,0.403,1.0,0.106
Kessler Edwards,SAC,0.467,0.385,0.556,0.07
Ben Simmons,BKN,0.581,0.0,0.4,0.091
Jericho Sims,NYK,0.691,0.0,0.667,0.149
Julian Phillips,CHI,0.513,0.316,0.684,0.082
Justin Champagnie,WAS,0.575,0.289,0.8,0.06
Kira Lewis Jr.,UTA,0.509,0.121,0.85,0.067
Kobe Brown,LAC,0.547,0.292,0.5,0.1
Furkan Korkmaz,PHI,0.445,0.35,0.7,0.076
Garrett Temple,TOR,0.448,0.3,0.818,0.073
Collin Gillespie,DEN,0.549,0.395,0.667,0.057
Tristan Vukcevic,WAS,0.613,0.278,0.773,0.039
Jared Rhoden,DET,0.6,0.387,0.625,0.062
Trent Forrest,ATL,0.4,0.2,0.765,0.105
Gui Santos,GSW,0.643,0.37,0.941,0.049
Jaylen Nowell,DET,0.572,0.207,0.778,0.054
Kobe Bufkin,ATL,0.482,0.225,0.5,0.05
Ashton Hagans,POR,0.456,0.32,0.824,0.08
Onuralp Bitim,CHI,0.5,0.273,0.8,0.068
Cody Zeller,NOP,0.423,0.333,0.605,0.081
Moses Brown,POR,0.508,0.0,0.29,0.051
Jules Bernard,WAS,0.514,0.379,0.556,0.038
Saben Lee,PHX,0.462,0.125,0.744,0.047
Leaky Black,CHA,0.5,0.45,0.667,0.072
Brandon Clarke,MEM,0.603,0.167,0.143,0.034
Markieff Morris,DAL,0.307,0.357,0.833,0.055
Colby Jones,SAC,0.53,0.091,0.545,0.049
Charles Bassey,SAS,0.744,0.0,0.833,0.052
Cory Joseph,GSW,0.453,0.31,0.571,0.075
Nate Williams,HOU,0.556,0.4,0.538,0.033
Justin Minaya,POR,0.399,0.245,0.556,0.097
Theo Maledon,PHX,0.375,0.167,0.933,0.054
Harry Giles III,LAL,0.556,0.214,0.538,0.025
