,Player,Team,Min,FG%,3P%,FT%,min%
223,Gordon Hayward,OKC,1245.3,46.4,41.1,74.2,31.64
224,Cedi Osman,SAS,1268.8,47.9,38.9,67.3,32.24
225,Kyle Lowry,PHI,1689.8,43.2,39.2,84,42.93
225,Zach LaVine,CHI,871.9,45.2,34.9,85.4,22.15
227,Kevin Love,MIA,924.3,44,34.4,78.7,23.48
227,Sam Merrill,CLE,1068.9,40.2,40.4,92.9,27.16
229,Dereck Lively II,DAL,1294.3,74.7,0,50.6,32.88
230,Draymond Green,GSW,1490.2,49.7,39.5,73,37.86
231,Josh Green,DAL,1504.7,47.9,38.5,68.4,38.23
232,Naji Marshall,NOP,1257.1,46.3,38.7,79.1,31.94
233,Amir Coffey,LAC,1460.6,47.2,38,85.9,37.11
234,Ochai Agbaji,TOR,1641.6,41.1,29.4,66.1,41.71
235,Patrick Beverley,MIL,1462.5,41.7,33.7,82.2,37.16
236,James Wiseman,DET,1091,61.3,0,70.6,27.72
237,Trendon Watford,BKN,856.5,52.7,39.7,79.4,21.76
238,Luke Kennard,MEM,999,44.8,45,88.9,25.38
238,Patrick Williams,CHI,1174.1,44.3,39.9,78.8,29.83
240,Danté Exum,DAL,1087.6,53.3,49.1,77.9,27.63
240,Pat Connaughton,MIL,1676.3,43.5,34.5,75.9,42.59
242,David Roddy,PHX,1177,40.3,29.3,69.1,29.90
242,Josh Richardson,MIA,1102.8,44.4,34.7,94.4,28.02
244,Vasilije Micić,CHA,1175.7,43,27.9,81.3,29.87
245,De'Anthony Melton,PHI,1023.3,38.6,36,83.5,26.00
246,Ziaire Williams,MEM,1037.7,39.7,30.7,82.7,26.36
247,Trey Lyles,SAC,1158.2,44.5,38.4,70,29.43
248,Day'Ron Sharpe,BKN,920.6,57.1,26.7,61,23.39
249,Haywood Highsmith,MIA,1365.8,46.5,39.6,63.9,34.70
250,Jose Alvarado,NOP,1028.4,41.2,37.7,67.3,26.13
251,Jonathan Isaac,ORL,914.6,51,37.5,72,23.24
252,Isaiah Jackson,IND,770.9,66.5,0,71.6,19.59
253,Tre Mann,CHA,987.1,45.9,37.3,76.3,25.08
254,Malachi Flynn,DET,876.9,41.8,33.1,73.2,22.28
255,Davion Mitchell,SAC,1101.1,45.2,36.1,71.4,27.98
255,Drew Eubanks,PHX,1168.7,60.1,100,77.4,29.69
255,Jake LaRavia,MEM,805.5,38.9,34,82.6,20.46
258,Daniel Theis,LAC,1014.8,53.2,36.6,76,25.78
258,Kris Murray,POR,1348.3,39.6,26.8,66.1,34.26
260,Gary Harris,ORL,1297.3,44.1,37.1,75.6,32.96
261,Dennis Smith Jr.,BKN,1058.7,43.5,29.4,74.1,26.90
262,Jordan Goodwin,MEM,1055.8,36.9,29.8,74.6,26.82
263,Jordan Nwora,TOR,711.4,46.2,33.6,83,18.07
264,Quentin Grimes,DET,1024.9,37.2,33.8,75.6,26.04
265,Jevon Carter,CHI,1003.6,37.8,32.9,57.1,25.50
265,Kris Dunn,UTA,1249.2,47,36.9,68.8,31.74
267,Dyson Daniels,NOP,1358.5,44.7,31.1,64.2,34.51
267,Matisse Thybulle,POR,1487.4,39.7,34.6,75.9,37.79
